código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),L9 - Liquidez con leliq y pases (%),fecha
00097,1253441342.00,124885276.00,702448545.00,286385993.00,11715.00,406321.00,0.00,0.00,0.00,2.68,0.96,-0.16,2.49,21.36,78.64,113.86,2.89,1.02,31.47,2.46,7.87,1.36,14.70,264.19,612.56,108.32,23.55,72.20,123.65,69.42,27.54,6.08,8.06,42.91,-0.47,1.83,-12.08,11.81,11.81,90.65,202406
00131,33848642.00,0.00,18726964.00,11193239.00,0.00,49.00,0.00,0.00,0.00,2.02,-0.17,-0.17,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,11.25,0.00,34.61,106.77,516.55,0.00,-84.70,53.96,39.69,116.31,60.02,-33.43,-33.43,35.36,-0.01,0.61,-14.67,20.34,20.34,154.92,202406
00143,125208290.00,16413152.00,94940445.00,13205363.00,0.00,5980792.00,0.00,0.00,0.00,8.04,4.24,-0.02,2.09,15.22,84.78,100.64,2.46,0.00,7.46,2.08,19.63,0.16,27.88,5.35,275.79,46.41,-72.09,60.11,11.73,79.58,24.33,-8.62,-11.06,37.19,-0.94,-5.88,-26.22,31.17,31.17,63.91,202406
00147,76999230.00,17035298.00,27342623.00,20994937.00,433.00,257.00,0.00,0.00,0.00,1.98,-0.62,-0.79,0.32,103.43,0.35,378.50,10.14,0.27,3.37,0.30,8.23,0.26,34.93,52.09,253.76,159.59,28.02,66.27,42.61,100.39,71.22,5.85,5.84,32.51,-0.41,-0.82,-17.08,105.40,103.94,45.88,202406
00150,4842060629.00,1458043368.00,2867709037.00,1292814057.00,269254.00,1387542.00,0.00,0.00,0.00,2.28,-0.60,-1.56,1.10,66.11,34.08,222.38,2.22,0.51,63.63,1.08,16.10,0.96,10.89,306.69,967.95,511.21,20.50,56.30,114.55,57.74,28.44,5.01,7.55,38.43,-0.67,2.21,-9.13,29.71,29.77,30.63,202406
00158,17567029.00,0.00,0.00,15385903.00,0.00,99798.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,-100.00,0.00,22.64,0.00,0.00,-76.79,0.00,0.00,-177.07,39.10,-148.08,177.79,65.99,-105.66,-102.91,32.07,0.00,-2.89,-115.07,0.00,0.00,0.00,202406
00165,409773683.00,0.00,79799841.00,254705851.00,36.00,72.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-100.00,0.00,5.53,0.00,54.39,644.45,478.40,0.00,-16.50,85.31,101.83,36.66,28.73,-12.47,-11.92,90.35,0.00,4.87,-11.95,348.85,348.85,241.67,202406
00191,5472395392.00,736440803.00,3034094330.00,2198920086.00,370365.00,3308978.00,0.00,0.00,0.00,1.48,-0.53,-0.58,0.38,80.36,20.15,526.78,1.33,0.14,74.70,0.38,9.87,0.29,15.32,411.27,642.86,153.32,38.64,49.47,124.84,65.12,60.51,11.61,11.61,46.10,-0.26,2.69,-9.12,17.80,17.80,33.97,202406
00198,1241427483.00,48423416.00,1026888474.00,103077399.00,1298.00,1957.00,0.00,0.00,0.00,9.98,-0.48,-0.48,0.00,99.48,0.52,641520.51,0.00,0.00,-59.44,0.00,35.46,0.00,3.56,407.84,3670.34,174.53,18.45,69.44,140.52,53.61,38.13,1.31,2.19,15.51,-0.14,0.73,-2.44,39.60,39.74,61.49,202406
00247,84937006.00,306159.00,22256725.00,44673531.00,21883.00,8360.00,0.00,0.00,0.00,0.79,0.01,0.00,0.18,98.89,1.11,104.09,0.60,0.18,-83.79,0.18,1.25,0.18,48.72,557.08,147.10,2.08,21.91,50.00,138.62,81.30,23.18,11.70,20.07,81.59,-0.16,8.89,-13.29,4.49,4.49,51.59,202406
00254,346404691.00,52528199.00,90331827.00,102179687.00,609.00,1721.00,0.00,0.00,0.00,2.23,-0.49,-0.49,0.67,99.53,0.47,202.38,4.73,0.65,-0.10,0.67,2.92,0.66,17.24,415.78,457.06,264.61,63.62,67.94,108.35,94.83,60.18,20.89,27.49,50.35,-0.44,1.06,-8.56,91.49,91.49,45.26,202406
00259,1308744237.00,336034813.00,813442319.00,349029821.00,121546.00,1339137.00,0.00,0.00,0.00,2.72,-2.26,-2.65,1.34,80.25,19.76,227.22,1.81,1.23,85.49,1.34,29.33,1.30,18.44,146.33,581.34,231.19,8.18,52.80,86.06,83.42,40.57,1.83,1.60,36.84,-2.97,2.72,-13.12,88.48,88.18,47.16,202406
00266,148782879.00,2189032.00,36822468.00,58255875.00,72.00,75.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,99.99,0.01,0.00,0.00,0.00,-95.12,0.00,27.26,0.00,77.93,214.94,450.16,27.03,15.78,77.86,123.69,69.58,35.45,5.74,9.93,59.04,-0.01,12.04,-20.92,122.21,122.50,216.39,202406
00268,312859052.00,55639622.00,166060976.00,117148665.00,1886.00,84724.00,0.00,0.00,0.00,1.67,0.73,-0.08,3.35,11.62,88.38,105.03,1.78,15.27,0.23,3.34,3.53,3.02,17.54,351.39,491.19,136.33,34.83,71.98,118.95,82.49,29.63,14.27,14.85,60.60,-0.54,2.60,-13.87,6.64,6.64,33.35,202406
00269,6407580.00,1255087.00,2754738.00,3142997.00,48.00,2736.00,0.00,0.00,0.00,1.04,0.00,0.00,1.43,49.61,50.39,117.34,2.84,0.00,0.00,0.06,47.12,0.02,53.07,-72.17,125.19,56.96,-111.74,63.38,-68.94,60.20,0.65,-41.12,-41.18,12.29,-0.02,-1.50,-35.16,153.22,109.66,109.61,202406
00277,51159574.00,23889463.00,27685950.00,15566155.00,247.00,731.00,0.00,0.00,0.00,2.20,0.72,-4.77,7.53,16.55,83.45,167.67,9.02,0.01,120.54,3.91,7.02,5.72,19.80,167.18,417.90,375.17,2.22,36.28,111.21,127.20,73.34,0.60,-2.26,58.79,-4.08,1.10,-18.12,12.61,12.61,20.03,202406
00281,29497906.00,3350281.00,10300131.00,9441802.00,416.00,1062.00,0.00,0.00,0.00,1.83,-0.51,-0.53,1.13,93.96,6.04,173.40,0.18,1.19,21.38,1.03,18.78,0.91,57.06,36.84,131.06,42.32,2.51,63.61,29.31,58.71,41.14,0.71,1.68,29.30,-0.42,5.24,-22.60,50.09,49.12,56.37,202406
