código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00426,107300188.00,38784824.00,62719419.00,29386899.00,4250.00,59539.00,4257.00,155197.00,186.00,2.65,0.01,-0.58,0.80,53.06,46.94,153.97,1.46,0.21,-13.07,0.80,12.29,0.12,16.70,174.53,333.91,203.56,15.89,58.23,101.57,82.85,51.87,3.93,6.09,40.27,-0.62,4.24,-14.39,21.02,21.02,32.32,202408
00431,126562074.00,42240148.00,85760842.00,32203571.00,3827.00,17751.00,1618.00,46126.00,214.00,3.05,-1.09,-1.56,0.91,84.06,15.94,233.02,1.53,0.79,32.98,0.90,21.48,0.69,20.31,133.82,401.53,164.85,34.09,38.84,120.18,80.89,39.33,7.86,13.69,56.72,-1.68,0.11,-20.71,45.23,45.23,35.95,202408
00432,65004254.00,16176947.00,12494852.00,22852298.00,1354.00,1182.00,90.00,22547.00,116.00,1.84,-0.36,-0.47,0.66,92.13,7.87,190.26,3.94,0.38,2.26,0.65,10.35,0.01,31.68,362.01,106.64,137.64,53.43,53.00,165.54,83.78,49.38,16.81,22.00,68.87,-0.44,3.27,-14.38,112.40,109.20,98.69,202408
00435,7018060.00,1479564.00,2524158.00,4228762.00,43.00,621.00,34197.00,371.00,12.00,0.66,6.18,3.38,22.93,94.80,5.20,64.42,15.32,23.34,0.42,22.93,1.42,7.82,65.67,172.92,209.96,131.43,-0.21,11.73,94.31,135.81,3.75,-0.12,-6.68,90.97,-3.54,1.83,-31.37,3.96,3.96,178.93,202408
00448,38939669.00,5836936.00,24546793.00,11149465.00,166.00,6721.00,457.00,132009.00,37.00,2.46,-0.29,-0.49,0.72,57.88,42.12,227.47,1.31,0.29,13.53,0.72,3.60,0.20,12.05,301.56,656.18,155.13,-49.95,49.95,80.11,68.55,97.24,-13.65,-12.47,29.29,-0.17,0.92,-7.26,5.65,5.65,18.59,202408
44077,73313720.00,28391389.00,46125894.00,16643684.00,0.00,242227.00,2578.00,128410.00,409.00,3.40,17.62,6.69,17.01,0.01,99.99,83.93,17.01,100.00,1.16,17.01,5.78,16.95,39.12,-37.08,110.77,71.30,-13.90,37.81,-62.33,119.01,55.70,-2.90,-9.92,33.24,-8.20,1.82,-35.02,9.18,9.18,14.61,202408
44088,176755016.00,164601354.00,3213150.00,48092561.00,0.00,0.00,1.00,11613.00,46.00,2.68,0.07,-0.25,0.15,57.26,42.74,144.75,0.33,0.01,-80.72,0.15,0.82,0.15,4.96,590.32,69.61,3829.00,6.92,47.99,113.85,98.62,93.06,2.34,3.85,52.44,-1.47,2.90,-6.52,2.71,44.89,44.89,202408
44092,133127678.00,78445685.00,21309286.00,21570935.00,0.00,0.00,43.00,31366.00,37.00,5.17,2.81,-0.71,0.92,60.02,39.98,111.77,1.44,0.57,-30.64,0.92,0.56,0.92,7.89,287.60,415.84,1972.07,7.29,30.40,98.64,122.09,69.63,1.58,1.75,29.03,-3.18,9.79,-7.45,2.42,3.52,3.52,202408
44093,52774890.00,43871130.00,8328.00,20744636.00,0.00,1.00,0.00,8867.00,44.00,1.54,2.22,-0.32,0.84,4.61,95.39,115.85,0.88,0.00,-26.66,0.84,5.96,0.84,10.05,400.95,0.00,999.14,-25.49,50.62,80.43,80.64,57.82,-13.65,-12.31,55.25,-1.38,6.18,-10.74,12.93,37741.09,48325.92,202408
44094,75974771.00,41329098.00,2473208.00,16538691.00,0.00,3.00,1.00,1468.00,48.00,3.59,3.41,-4.00,0.12,92.68,7.32,849.26,0.00,0.13,0.01,0.12,2.03,0.06,16.47,110.99,48.85,866.69,-52.59,66.10,47.01,80.98,47.49,-11.94,-11.49,26.79,-1.14,0.81,-9.62,235.91,62.45,62.45,202408
44095,69526653.00,55003191.00,0.00,18377572.00,0.00,0.00,0.00,26545.00,32.00,2.78,0.77,-1.49,0.28,15.21,84.79,216.16,0.32,0.07,-44.43,0.28,1.77,0.28,8.94,270.13,0.00,2578.33,14.65,23.56,123.76,92.65,0.00,3.60,8.62,57.85,-2.10,-4.62,-11.26,0.00,0.00,0.00,202408
44096,266724673.00,218185091.00,0.00,23759060.00,0.00,0.00,0.00,1699.00,74.00,10.23,14.28,1.84,2.08,100.00,0.00,90.61,0.00,2.08,8.12,1.89,8.21,2.08,3.50,133.19,0.00,2946.19,-37.34,57.26,42.21,20.46,0.00,-2.99,-0.11,5.86,-0.19,1.84,-2.53,145185.50,0.00,0.00,202408
44098,109942600.00,98420570.00,10029126.00,22119161.00,0.00,0.00,0.00,23504.00,30.00,3.77,0.04,-0.52,0.10,49.16,50.84,220.48,0.19,0.00,-79.50,0.10,0.14,0.10,4.97,349.12,333.33,3438.57,-12.82,30.82,82.26,97.55,104.00,-3.41,-3.24,35.93,-1.49,1.44,-6.27,0.40,1.58,1.58,202408
44099,63221162.00,40605846.00,3095729.00,26936098.00,0.00,1.00,22.00,6880.00,61.00,1.35,1.33,0.69,0.48,48.94,51.06,32.19,0.33,0.64,-86.12,0.47,3.43,0.13,24.15,33.33,49.88,654.62,-40.34,55.97,16.87,79.86,97.20,-14.87,-13.57,24.36,-0.30,6.23,-18.66,102.27,69.96,69.96,202408
45030,813013879.00,349212865.00,634702348.00,65908847.00,0.00,5485192.00,10.00,2445705.00,50.00,8.96,27.62,8.75,9.06,0.00,100.00,86.24,9.06,0.00,-1.36,9.06,4.31,0.30,3.68,186.69,12669.94,6721.88,97.62,14.82,165.67,131.18,54.50,8.23,9.58,40.99,-9.16,-4.89,-7.48,4.46,4.48,23.77,202408
45056,29485359.00,15984606.00,19436721.00,6174326.00,0.00,53417.00,6926.00,37643.00,238.00,3.78,43.21,28.77,19.64,3.71,96.29,47.84,20.28,3.21,-25.91,19.62,8.81,15.77,23.82,-47.29,80.67,70.24,-16.09,50.86,-63.20,73.53,62.36,-3.39,-4.33,14.37,-4.27,8.15,-28.18,12.47,13.38,16.98,202408
