código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00305,34538695.00,8387664.00,21097832.00,11772186.00,504.00,880.00,110.00,587.00,82.00,1.19,3.73,-0.87,0.50,99.96,0.04,330.84,0.00,0.50,1.32,0.50,12.92,0.50,23.98,116.39,255.52,97.90,-5.33,58.91,66.42,93.42,19.35,-2.02,-2.03,46.68,-0.11,3.47,-21.58,80.74,54.15,42.39,202410
00309,213812034.00,71414474.00,133752293.00,69426646.00,1543.00,195409.00,6926.00,69294.00,345.00,1.93,8.39,4.93,8.18,47.82,52.20,56.52,2.07,14.85,-34.02,8.18,2.12,6.23,19.22,89.76,390.04,214.85,-10.98,42.06,49.30,65.60,16.53,-4.13,-3.73,42.28,-4.02,1.62,-20.65,29.89,4.56,28.55,202410
00310,201377125.00,94228667.00,137900358.00,50588866.00,850.00,178210.00,5452.00,112696.00,274.00,2.98,25.40,9.33,3.84,29.41,70.59,74.49,4.84,1.44,-0.02,3.81,2.74,2.24,20.55,-1.15,500.33,327.12,-19.28,45.25,-1.18,74.03,25.83,-5.23,-3.14,33.32,-2.14,-0.84,-28.02,29.60,6.86,26.74,202410
00311,779136159.00,343051049.00,511892665.00,181735425.00,6194.00,943364.00,48530.00,647545.00,718.00,2.55,-2.51,-3.45,1.15,44.13,56.75,213.76,1.43,0.77,49.30,1.10,10.32,0.45,17.20,79.70,703.43,481.52,11.36,49.44,69.04,69.57,29.97,2.64,2.50,33.25,-0.90,3.85,-20.13,40.89,13.03,40.89,202410
00312,86516867.00,17657890.00,60582446.00,15208885.00,163.00,22616.00,2023.00,65719.00,65.00,4.46,2.78,1.05,2.19,9.54,90.46,61.02,2.37,0.56,-24.95,2.13,1.75,0.41,17.20,-118.28,917.43,218.78,13.68,55.00,-134.59,97.83,56.74,2.10,3.02,2.38,-0.28,-1.96,-17.44,47.37,40.87,25.93,202410
00315,657188204.00,84312070.00,459775211.00,136892908.00,37098.00,464831.00,9378.00,147649.00,547.00,3.38,1.34,0.22,2.61,27.70,72.30,87.68,2.52,2.85,-1.35,2.56,16.02,1.62,19.06,132.56,836.03,150.37,18.48,42.26,107.28,87.09,8.43,4.01,8.60,40.16,-0.39,1.82,-17.58,31.30,20.88,31.82,202410
00319,569492867.00,203941439.00,310655598.00,163400412.00,1005.00,1945.00,56.00,37.00,191.00,1.83,-4.09,-4.09,0.01,100.00,0.00,19128.99,0.00,0.01,250.32,0.01,18.43,0.00,7.98,334.76,1645.44,1116.63,23.18,59.00,85.97,71.65,40.97,7.30,11.85,39.11,-1.69,0.75,-8.08,61.30,57.86,33.38,202410
00321,1245914495.00,150026283.00,744342970.00,448598122.00,10082.00,1234943.00,21094.00,629065.00,637.00,1.78,2.98,0.70,6.28,14.58,85.42,69.12,5.86,8.75,0.20,6.27,9.26,3.26,10.22,360.78,1155.56,240.59,-3.06,27.46,78.90,92.71,29.01,-1.23,-1.55,39.27,-0.50,2.09,-8.79,48.21,15.50,48.21,202410
00322,2277997216.00,376821692.00,1702645827.00,296707083.00,18201.00,1826723.00,7016.00,227199.00,730.00,6.47,-5.27,-5.56,0.43,92.76,7.24,1000.26,3.02,0.23,251.07,0.29,8.17,0.26,9.48,177.80,2217.17,495.56,36.99,31.61,117.44,53.13,58.81,5.94,11.87,34.52,-1.24,3.96,-10.61,78.60,78.22,10.72,202410
00330,2330274518.00,809176585.00,1755652899.00,370470921.00,65030.00,1327405.00,70760.00,1337582.00,1663.00,5.19,0.01,-0.84,0.63,56.65,43.35,151.97,1.17,0.22,-26.88,0.60,10.51,0.47,10.28,79.33,1039.05,476.36,7.67,47.52,34.05,64.32,37.88,1.81,2.31,20.12,-0.57,1.38,-10.12,35.19,30.07,18.52,202410
