código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
45072,74269846.00,30675216.00,60216449.00,4572208.00,0.00,751250.00,5332.00,4828.00,167.00,15.24,35.69,8.63,2.93,67.44,32.56,77.39,5.96,1.47,-0.14,2.93,34.88,0.30,22.28,-7.19,356.67,180.08,-31.31,43.73,-24.07,57.16,15.44,-2.54,-2.61,22.04,-1.12,6.87,-27.16,47.45,43.47,48.58,202502
65203,7270321.00,3293120.00,2763145.00,3934694.00,0.00,693.00,261.00,15868.00,84.00,0.85,18.70,7.98,28.40,7.85,92.15,72.25,29.30,17.81,-0.13,28.40,1.62,23.19,74.04,-56.60,32.72,34.67,-89.92,62.57,-65.13,96.45,31.09,-39.52,-39.60,36.08,-11.36,0.01,-50.57,18.94,4.27,18.94,202502
AA000,218210125003.00,83298429826.00,141215249966.00,54195345604.00,9060819.00,112244931.00,4925949.00,40085568.00,95933.00,2.79,1.06,-1.53,1.71,55.38,44.76,150.61,2.90,0.75,50.91,1.72,14.19,1.05,7.28,194.98,1454.70,801.77,15.46,55.32,58.52,46.58,20.61,3.99,5.64,24.32,-1.30,1.50,-7.75,36.72,28.42,28.93,202502
AA100,214753394055.00,81246223191.00,139639106358.00,53771235804.00,9060819.00,103852779.00,4910903.00,36949182.00,94618.00,2.77,0.95,-1.56,1.65,55.91,44.23,154.16,2.80,0.74,53.01,1.67,14.28,1.05,7.32,195.83,1458.42,790.37,15.38,55.57,58.47,46.06,20.53,3.99,5.64,24.28,-1.24,1.52,-7.75,36.55,28.58,28.67,202502
AA110,84399075159.00,29950530594.00,55696317912.00,24087184777.00,2616099.00,41837991.00,2069734.00,12894290.00,37900.00,2.21,1.43,-0.74,1.52,52.90,47.22,133.18,2.07,1.02,29.05,1.65,9.26,0.84,6.35,300.74,1459.52,659.09,18.43,69.46,64.74,55.16,22.79,5.27,7.90,26.62,-0.82,0.01,-6.16,29.92,17.09,25.86,202502
AA120,130354318896.00,51295692597.00,83942788446.00,29684051027.00,6444720.00,62014788.00,2841169.00,24054892.00,56718.00,3.22,0.55,-2.23,1.73,57.55,42.61,165.55,3.24,0.61,66.69,1.67,17.35,1.16,7.90,145.52,1457.71,875.97,12.88,48.90,53.35,41.64,18.91,3.11,4.09,22.67,-1.53,2.56,-8.84,40.88,36.10,30.50,202502
AA121,70306014359.00,26455865962.00,45261829277.00,16356249106.00,2414300.00,39582718.00,2008234.00,16575797.00,33764.00,3.15,1.05,-1.72,1.79,57.99,42.07,150.78,3.22,0.76,54.83,1.72,15.64,0.96,8.01,146.82,1318.10,755.35,16.86,51.25,53.66,44.51,21.39,4.06,5.12,22.70,-1.41,2.38,-8.81,40.68,35.38,28.74,202502
AA123,54558394553.00,23959183965.00,36377447872.00,10999344316.00,4026638.00,22428292.00,832908.00,7455067.00,21566.00,3.79,0.36,-3.06,1.72,55.20,44.84,173.33,3.27,0.46,74.13,1.68,18.82,1.44,7.29,137.40,1666.59,1085.46,9.27,46.44,54.81,38.66,16.78,2.04,3.08,21.99,-1.77,2.68,-8.76,34.17,31.41,29.58,202502
AA124,5489909984.00,880642670.00,2303511297.00,2328457605.00,3782.00,3778.00,27.00,24028.00,1388.00,1.00,-1.93,-1.93,0.00,106.10,0.00,0.00,0.00,0.00,392.71,0.00,25.84,0.00,16.92,197.96,1656.23,596.34,3.28,43.86,44.49,43.67,2.64,1.47,0.91,28.76,-0.64,3.64,-10.06,149.51,124.36,79.92,202502
AA200,3456730948.00,2052206635.00,1576143608.00,424109800.00,0.00,8392152.00,15046.00,3136386.00,1315.00,5.47,14.19,1.76,3.81,35.68,64.32,91.51,5.33,1.08,9.19,3.71,7.82,1.04,5.07,123.90,1187.63,1618.62,27.36,34.89,65.94,66.68,30.59,4.01,5.64,27.23,-6.07,0.26,-7.80,49.62,14.36,52.76,202502
AA210,1860058244.00,707137157.00,1544415106.00,158742281.00,0.00,8392148.00,14959.00,3009472.00,943.00,6.23,23.49,1.62,9.30,3.65,96.35,96.35,9.61,1.23,31.25,9.30,12.64,1.51,5.19,65.31,1632.94,745.99,46.22,29.01,66.30,103.92,30.75,4.27,4.99,31.45,-10.42,-1.83,-9.37,48.84,10.57,49.76,202502
AA220,1596672704.00,1345069478.00,31728502.00,265367519.00,0.00,4.00,87.00,126914.00,372.00,4.96,8.09,1.85,0.89,52.71,47.29,64.69,0.70,1.07,-54.28,0.86,3.95,0.80,4.88,219.63,72.59,3803.68,18.27,44.51,65.77,49.20,25.51,3.73,6.33,22.74,-1.43,2.49,-6.12,54.88,199.04,199.04,202502
AA910,108697278073.00,44908002404.00,70219174031.00,25105250520.00,6021153.00,43020590.00,1844819.00,18482131.00,44550.00,3.18,0.34,-2.59,1.70,56.92,43.25,175.17,3.14,0.59,76.60,1.67,18.77,1.14,7.43,155.26,1559.53,983.38,12.38,48.79,53.72,40.46,17.67,3.06,4.00,22.84,-1.69,2.63,-8.54,38.37,35.02,31.11,202502
