código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00281,37621387.00,3986456.00,18193749.00,10472467.00,516.00,1192.00,0.00,0.00,0.00,2.42,-0.32,-0.37,0.72,97.88,2.12,168.95,2.90,0.67,31.96,0.68,16.13,0.20,39.51,12.83,241.24,53.80,-13.17,63.00,9.83,42.55,17.66,-4.05,-4.60,23.33,-0.31,5.63,-23.57,55.13,31.72,55.13,202412
00285,14178945690.00,5752085056.00,8403442909.00,4049517552.00,939553.00,7749081.00,0.00,0.00,0.00,2.41,0.18,-1.11,1.31,45.22,54.85,156.59,1.68,0.86,29.53,1.28,18.94,0.78,8.46,216.89,1096.07,718.45,5.43,58.74,60.37,56.22,26.64,1.77,1.80,29.97,-0.85,2.47,-9.08,41.32,37.82,34.52,202412
00299,2291223546.00,800538802.00,1481612757.00,318558572.00,61716.00,505986.00,0.00,0.00,0.00,5.23,-1.65,-2.64,0.49,89.05,11.19,281.23,2.73,0.20,23.38,0.43,24.72,0.33,9.65,105.88,981.35,530.14,13.18,52.87,73.01,41.66,33.29,1.97,2.38,21.82,-0.49,2.69,-10.29,62.64,50.98,41.64,202412
00300,1311825244.00,328247600.00,569072527.00,490914982.00,0.00,0.00,78.00,9651.00,345.00,1.65,0.16,-0.55,0.51,104.78,0.00,315.49,0.00,0.49,-17.55,0.34,2.66,0.05,6.11,598.45,1624.39,920.10,2.91,71.97,71.16,32.63,36.30,0.98,2.00,29.70,-0.23,0.17,-4.00,89.04,84.05,9.25,202412
00301,318004584.00,53719411.00,231559507.00,52796477.00,96574.00,384194.00,0.00,0.00,0.00,4.79,5.79,2.73,3.40,35.78,64.22,47.43,5.29,0.00,-48.61,3.40,33.31,1.35,23.62,47.99,371.48,80.97,16.41,51.50,64.94,112.72,15.84,2.85,2.32,33.69,-0.51,4.05,-23.48,58.68,55.24,47.39,202412
00305,36162472.00,13163594.00,17782232.00,12271121.00,149.00,863.00,0.00,0.00,0.00,1.69,1.94,-1.21,0.32,99.98,0.02,435.72,0.00,0.32,1.00,0.32,11.77,0.31,24.25,74.29,215.02,153.37,-5.68,58.89,43.05,73.04,13.14,-2.02,-3.33,35.82,-0.47,3.43,-20.64,66.07,52.18,35.72,202412
00309,223679575.00,84671710.00,140251044.00,72227295.00,2193.00,219502.00,0.00,0.00,0.00,2.00,7.34,4.34,7.63,42.64,57.38,63.19,2.54,14.46,-30.31,7.62,4.67,5.62,20.54,53.54,405.55,253.14,-3.62,36.14,33.24,60.20,10.41,-1.34,-1.58,37.04,-2.59,1.60,-23.09,29.76,24.55,12.42,202412
00310,227931677.00,131662666.00,159335030.00,57181670.00,1137.00,183115.00,0.00,0.00,0.00,2.99,30.74,-1.12,1.57,29.10,70.90,107.46,1.58,1.52,0.83,1.55,12.08,0.56,17.17,-11.79,577.50,447.19,-19.03,44.16,-11.63,64.48,17.55,-5.03,-4.62,29.32,-2.84,-1.04,-26.08,20.00,20.00,17.28,202412
00311,859502219.00,390455665.00,564857077.00,203028292.00,8610.00,953042.00,0.00,0.00,0.00,2.59,-1.75,-3.37,1.08,40.75,59.96,214.21,1.31,0.72,42.57,1.07,11.05,0.41,16.40,68.00,777.90,541.63,15.00,48.76,57.98,61.83,22.11,3.50,4.52,30.25,-0.82,3.99,-19.89,28.28,14.25,36.94,202412
00312,92205226.00,20185094.00,71010784.00,15333487.00,139.00,199.00,0.00,0.00,0.00,4.64,2.23,1.11,1.72,9.62,90.38,52.82,1.85,0.45,-41.75,1.72,1.07,0.33,16.03,-43.43,1076.06,214.37,23.91,51.31,-48.04,97.03,43.31,3.77,7.00,15.39,-0.11,-2.10,-17.45,59.95,39.88,52.92,202412
