código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),L9 - Liquidez con leliq y pases (%),fecha
00044,2394429317.00,244474482.00,1804430039.00,342247896.00,6397.00,757728.00,74555.00,362339.00,1616.00,5.89,1.26,0.31,2.83,38.51,61.49,85.77,3.19,2.26,-19.56,2.82,3.46,1.97,8.24,220.44,1091.81,108.41,31.81,71.24,105.03,97.14,67.53,4.55,5.39,22.98,-0.29,1.70,-6.82,50.10,50.08,55.95,202405
00045,645202843.00,96138766.00,408831146.00,158141121.00,28861.00,484018.00,19930.00,184311.00,572.00,2.94,0.26,-0.33,0.56,73.70,26.33,165.76,1.82,0.11,-28.94,0.50,4.45,0.56,13.49,317.68,702.74,171.32,4.12,43.88,75.10,79.67,51.24,1.50,6.96,37.56,-0.31,1.19,-8.62,45.61,45.22,9.89,202405
00065,219004231.00,71530836.00,136648477.00,56726749.00,3131.00,264116.00,29235.00,140365.00,425.00,2.86,1.92,-0.07,1.65,33.87,66.13,103.01,2.34,0.31,-0.95,1.65,14.27,0.97,21.04,133.39,318.00,156.25,11.85,64.26,106.81,82.54,43.62,2.56,5.63,42.63,-0.81,1.93,-17.32,22.88,22.88,32.62,202405
00072,11193532552.00,4703257109.00,6852927387.00,2505171212.00,1475228.00,9179477.00,600126.00,1195605.00,6274.00,3.28,1.44,-1.85,1.61,61.10,39.42,153.30,3.01,0.69,43.74,1.59,18.50,1.25,10.35,270.05,1074.85,686.18,34.45,47.62,128.72,66.54,42.61,6.47,9.10,34.35,-1.55,3.74,-8.95,31.64,31.67,33.70,202405
00083,610579644.00,107378588.00,424866118.00,161683944.00,6106.00,286244.00,30959.00,170666.00,737.00,2.78,7.70,4.02,8.10,57.22,42.78,37.09,2.01,12.65,-3.70,8.02,6.44,3.46,13.04,307.35,569.67,144.83,25.97,78.34,143.12,70.83,35.56,6.18,11.45,46.10,-0.99,1.12,-11.09,9.26,9.26,73.86,202405
00086,436299678.00,69618125.00,328097251.00,64774949.00,13607.00,161588.00,13993.00,116930.00,267.00,5.74,0.84,-0.46,1.15,70.60,29.40,128.78,2.13,0.75,-8.26,1.11,10.11,1.15,10.47,223.67,1216.41,258.58,29.69,47.45,115.20,69.58,58.55,5.86,9.97,34.70,-0.53,1.57,-10.17,69.33,69.33,18.97,202405
00093,776435460.00,93625447.00,491206816.00,234999899.00,71015.00,521722.00,64146.00,332167.00,795.00,2.30,-0.58,-1.33,2.17,64.02,35.98,217.04,3.04,1.68,128.54,2.12,14.86,1.43,17.18,274.25,605.87,115.71,11.87,63.92,121.52,82.92,52.38,2.97,7.30,45.76,-0.81,0.44,-11.07,23.47,23.47,31.50,202405
00094,644006768.00,97972720.00,334103679.00,237423665.00,27851.00,824379.00,47377.00,95703.00,832.00,1.71,1.91,0.53,3.68,54.96,45.04,69.52,3.59,3.76,0.70,3.65,5.87,1.32,24.05,266.39,395.29,115.36,37.99,62.55,139.70,70.68,40.61,12.01,16.29,62.28,-0.64,1.79,-16.57,11.32,11.32,25.21,202405
00097,979297101.00,113836182.00,653553929.00,268867827.00,11619.00,372408.00,39916.00,435869.00,1133.00,2.64,0.97,-0.19,2.63,22.55,77.45,115.41,2.97,1.45,32.98,2.59,7.49,1.31,15.63,259.06,567.25,98.70,25.82,72.97,127.12,68.50,29.38,6.70,8.81,44.62,-0.47,1.82,-12.73,11.23,11.23,94.77,202405
00131,24612018.00,0.00,9350322.00,11146048.00,0.00,38.00,2.00,0.00,36.00,1.21,-0.13,-0.13,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,18.20,0.00,67.11,123.99,257.45,0.00,-77.65,53.53,43.54,111.19,62.71,-32.20,-32.20,37.88,0.01,0.60,-14.56,47.90,47.90,212.34,202405
