código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00386,1048117658.00,272922681.00,668044312.00,285963036.00,23296.00,809892.00,42046.00,649084.00,751.00,2.66,-0.31,-0.60,0.63,54.62,45.38,199.57,1.02,0.31,-9.98,0.50,7.45,0.63,12.39,309.28,889.58,366.21,28.70,45.89,107.84,69.09,43.30,8.19,14.01,43.01,-0.47,2.17,-9.95,33.40,33.67,14.86,202407
00389,360349106.00,73154274.00,114387804.00,78111973.00,1207.00,435531.00,26420.00,197073.00,736.00,3.25,6.34,2.07,7.74,12.64,87.36,75.35,8.86,0.01,24.98,7.74,6.46,5.24,36.31,-58.25,151.32,93.53,121.49,61.02,-87.01,107.02,62.51,18.47,21.31,11.01,-2.47,3.81,-22.70,18.75,18.75,23.44,202407
00426,110832788.00,36773108.00,65932120.00,27897058.00,4250.00,59539.00,4257.00,155197.00,186.00,2.97,0.01,-0.52,0.84,53.01,46.99,145.52,1.52,0.25,-13.44,0.84,13.10,0.10,15.79,182.78,350.22,192.05,16.78,57.91,106.57,86.06,55.15,4.03,6.26,40.39,-0.59,4.19,-13.99,22.03,22.03,43.80,202407
00431,125659529.00,35648139.00,86221340.00,31063312.00,3827.00,17751.00,1618.00,46126.00,214.00,3.05,-1.09,-1.56,0.91,84.06,15.94,233.02,1.53,0.79,32.98,0.90,21.48,0.69,21.54,130.91,421.21,172.93,34.37,37.65,121.51,81.44,40.32,7.72,13.89,56.39,-1.66,0.15,-20.84,45.23,45.23,36.93,202407
00432,67487284.00,14307308.00,12101355.00,21984394.00,1354.00,1182.00,90.00,22547.00,116.00,1.27,-0.29,-0.49,0.76,92.85,8.09,189.86,4.62,0.42,12.94,0.67,9.76,0.01,32.44,373.57,108.39,127.47,59.54,53.31,176.26,88.20,49.85,18.53,23.97,72.21,-0.51,3.40,-14.68,185.00,181.70,95.06,202407
00435,5434191.00,1553168.00,960426.00,4241015.00,43.00,621.00,34197.00,371.00,12.00,0.28,9.84,0.45,5.93,94.30,5.70,80.59,7.84,5.82,1.39,5.93,2.17,5.76,106.15,189.22,318.53,494.08,3.11,11.45,103.66,147.80,3.73,1.79,-4.79,96.06,-1.46,0.43,-31.53,12.26,12.26,292.83,202407
00448,37961644.00,3810429.00,23009490.00,10434950.00,166.00,6721.00,457.00,132009.00,37.00,2.60,0.07,-0.15,1.57,38.59,61.41,125.75,2.15,0.65,-6.92,1.57,4.06,0.76,13.15,338.99,598.19,99.34,-49.30,49.81,86.85,77.21,101.30,-13.60,-12.75,31.12,-0.11,0.96,-7.07,6.63,6.63,16.78,202407
44077,71027479.00,26120011.00,44384574.00,16168446.00,0.00,242227.00,2578.00,128410.00,409.00,3.30,18.80,7.03,18.14,0.01,99.99,83.64,18.14,31.26,0.91,18.14,5.66,18.06,40.65,-39.73,106.62,65.74,-22.22,38.45,-67.85,116.65,59.11,-4.51,-12.09,32.54,-8.62,1.89,-34.68,8.87,8.87,16.26,202407
44088,135478571.00,123032029.00,3106539.00,46890932.00,0.00,0.00,1.00,11613.00,46.00,1.89,0.13,-0.09,0.26,68.36,31.64,111.59,0.79,0.01,-75.22,0.26,1.02,0.26,6.22,611.76,67.37,2905.04,8.62,47.70,118.28,104.48,98.96,2.92,2.22,53.77,-1.31,3.22,-6.55,3.45,44.59,44.59,202407
44092,119354341.00,64898523.00,19307334.00,20482239.00,0.00,0.00,43.00,31366.00,37.00,4.83,2.71,-0.92,0.93,64.07,35.93,116.15,1.60,0.55,-23.53,0.93,1.00,0.93,9.20,289.40,380.70,1566.17,2.19,30.29,98.96,125.05,74.78,0.49,0.05,29.42,-3.16,10.62,-7.70,4.55,6.20,6.20,202407
44093,46225620.00,32780666.00,11111220.00,19963618.00,0.00,1.00,0.00,8867.00,44.00,1.32,1.69,-0.37,0.80,5.75,94.25,124.49,0.85,0.00,-24.59,0.80,5.13,0.80,9.73,414.01,241.00,708.89,-27.43,50.31,81.60,84.01,52.47,-15.16,-15.66,57.34,-1.10,6.01,-10.89,12.23,21.36,78.10,202407
44094,68736991.00,36233021.00,565590.00,15703097.00,0.00,3.00,1.00,1468.00,48.00,4.02,2.22,-4.78,0.18,93.57,6.43,605.22,0.84,0.13,0.01,0.18,1.54,0.11,19.22,109.23,8.98,734.05,-77.57,67.03,46.70,81.55,52.67,-17.50,-13.49,26.83,-1.15,0.70,-9.65,180.41,180.41,180.41,202407
44095,64022842.00,48192746.00,0.00,16905526.00,0.00,0.00,0.00,26545.00,32.00,2.79,1.26,-1.54,0.29,16.58,83.42,218.02,0.33,0.07,-41.78,0.29,3.69,0.29,9.50,275.62,0.00,2567.56,14.06,23.45,127.83,92.91,0.00,3.31,6.58,57.05,-1.98,-4.58,-10.91,0.00,0.00,0.00,202407
