código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00269,9393582.00,226819.00,3015191.00,5735690.00,59.00,2673.00,18.00,130.00,22.00,0.64,-0.01,-0.01,0.18,43.37,56.63,518.88,0.31,0.00,-12.54,0.06,27.60,0.00,88.48,-74.90,137.03,10.30,-83.79,58.00,-59.89,38.93,0.29,-39.22,-39.33,11.69,-0.02,-1.58,-37.42,226.27,86.17,221.12,202501
00277,57126642.00,26532759.00,32044402.00,21661009.00,262.00,724.00,73.00,53730.00,62.00,1.64,5.47,-0.52,8.45,13.95,86.05,104.86,8.86,5.97,42.96,7.33,6.82,6.17,20.71,114.80,507.88,430.88,21.58,37.21,70.11,103.80,38.65,7.00,7.59,49.96,-3.50,0.87,-19.81,12.52,12.15,12.56,202501
00281,36575788.00,4642957.00,16916043.00,10756997.00,516.00,1192.00,593.00,574.00,76.00,2.25,-0.18,-0.26,0.68,97.02,2.98,140.75,2.10,0.64,3.84,0.63,16.86,0.21,41.51,8.17,221.29,60.84,-10.57,62.39,6.29,41.30,15.87,-3.26,-4.37,22.34,-0.38,5.75,-23.75,63.07,34.82,60.71,202501
00285,14263713621.00,6127538628.00,8289770430.00,4195738620.00,939553.00,7749081.00,358614.00,4216640.00,8788.00,2.36,0.48,-1.16,1.35,43.92,56.09,154.43,1.69,0.91,28.40,1.32,17.64,0.79,8.55,190.27,929.59,660.67,8.06,58.47,53.62,52.12,24.24,2.58,3.17,27.20,-0.89,2.57,-9.02,39.55,35.71,33.55,202501
00299,2313030531.00,704855031.00,1465689895.00,326200825.00,61716.00,505986.00,20662.00,190013.00,1515.00,4.20,-2.05,-2.97,0.67,86.73,13.29,261.14,2.64,0.37,49.20,0.60,17.63,0.51,10.89,85.82,963.07,464.45,12.90,55.03,61.83,38.60,28.39,1.97,2.47,20.63,-0.56,2.76,-10.98,45.98,33.40,29.38,202501
00300,1343194216.00,351954534.00,577783213.00,513586506.00,0.00,0.00,82.00,8060.00,344.00,1.56,0.42,-0.26,0.48,104.71,0.00,208.52,0.00,0.46,-31.26,0.31,2.96,0.05,5.55,649.38,1642.26,987.76,14.56,70.96,70.11,31.62,34.13,4.98,7.16,29.20,-0.25,0.19,-3.69,85.03,79.08,9.94,202501
00301,334085940.00,61695974.00,235229227.00,56336799.00,96574.00,384194.00,12062.00,8.00,611.00,4.63,5.81,2.80,3.36,36.57,63.43,45.98,5.30,0.00,-50.14,3.36,33.80,1.32,23.33,49.78,383.98,95.93,25.88,50.65,66.37,111.15,13.49,4.55,4.03,33.84,-0.51,4.16,-23.46,60.93,57.44,49.04,202501
00305,36768629.00,12491745.00,21357416.00,12733337.00,149.00,863.00,145.00,640.00,83.00,1.70,2.22,-0.72,0.33,99.98,0.02,310.38,0.00,0.33,-25.69,0.33,11.39,0.33,22.42,66.63,255.24,144.63,-0.24,58.09,38.43,67.55,11.53,-0.08,-1.26,33.44,-0.55,3.37,-20.12,75.53,63.64,30.24,202501
00309,208691256.00,93625832.00,124713987.00,73160347.00,2193.00,219502.00,0.00,0.00,0.00,1.63,8.51,5.11,6.23,39.26,60.76,48.99,2.71,11.68,-44.76,6.23,3.15,4.16,22.55,31.80,360.63,274.08,-8.21,35.99,20.58,57.72,9.04,-3.05,-3.55,32.83,-2.35,1.67,-24.04,14.06,8.04,10.90,202501
00310,242227778.00,154198996.00,160136814.00,69873437.00,1137.00,183115.00,3805.00,126478.00,260.00,2.47,18.07,3.42,1.48,27.49,72.51,61.15,1.52,1.36,-48.78,1.46,4.81,0.82,16.42,-8.18,612.25,545.66,-11.86,44.40,-7.78,61.28,15.64,-3.12,-3.07,29.21,-2.66,-1.17,-25.01,10.15,10.15,7.28,202501
