código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00301,286163956.00,41434540.00,194127622.00,46561540.00,100503.00,377293.00,0.00,0.00,0.00,4.68,5.02,2.84,4.06,27.79,72.21,43.63,5.62,0.00,-50.57,4.06,32.83,1.65,26.99,56.68,300.27,60.66,12.73,52.20,81.33,109.43,25.42,2.04,1.90,35.53,-0.32,3.44,-23.04,61.91,59.16,48.86,202409
00305,32913771.00,8726825.00,19655243.00,11609535.00,504.00,880.00,0.00,0.00,0.00,1.33,3.22,-0.88,0.49,99.96,0.04,333.40,0.00,0.49,1.32,0.49,17.96,0.48,24.47,137.89,238.53,103.13,1.21,58.84,79.25,100.35,23.62,0.45,1.78,52.25,-0.58,3.45,-21.64,94.60,66.06,53.27,202409
00309,215248128.00,64390683.00,136517398.00,66952130.00,1543.00,195409.00,0.00,0.00,0.00,2.12,7.17,4.70,8.38,51.15,48.87,57.63,2.06,14.42,-34.83,8.38,2.26,6.66,18.79,108.02,398.03,194.95,-12.15,42.73,57.87,67.37,19.08,-4.58,-1.68,45.10,-3.94,1.68,-20.21,29.53,4.72,28.27,202409
00310,182752517.00,74555041.00,125871771.00,47311806.00,850.00,178210.00,0.00,0.00,0.00,2.86,28.96,13.67,4.67,30.04,69.96,69.13,5.99,1.61,-0.17,4.62,2.38,2.59,23.13,-1.08,429.80,245.90,-20.42,45.96,-1.13,80.05,31.96,-5.57,-3.20,33.85,-2.07,-0.73,-28.54,32.42,7.51,28.37,202409
00311,741134254.00,315247389.00,492596375.00,174006991.00,6194.00,943364.00,0.00,0.00,0.00,2.44,-2.28,-3.13,1.16,41.20,59.73,202.21,1.37,0.83,43.87,1.15,10.71,0.44,17.79,84.34,676.69,438.98,11.49,49.92,73.51,72.45,34.36,2.65,2.41,34.16,-0.90,3.84,-20.11,41.96,13.00,41.96,202409
00312,75839186.00,16685001.00,53233239.00,14396793.00,163.00,22616.00,0.00,0.00,0.00,4.11,3.25,0.89,2.12,11.02,88.98,66.88,2.31,0.51,-18.88,2.12,3.29,0.40,18.35,-145.20,805.80,211.15,-2.45,54.85,-164.27,101.49,63.76,-0.37,0.71,-1.66,-0.31,-2.18,-16.98,39.30,32.85,18.07,202409
00315,629767241.00,78747532.00,447560527.00,133861028.00,45074.00,631699.00,0.00,0.00,0.00,3.30,1.39,0.30,2.82,27.27,72.73,83.74,2.58,3.46,-1.04,2.70,12.03,1.70,19.72,134.64,813.83,139.81,21.00,42.99,113.70,89.08,10.09,4.58,9.60,42.54,-0.35,1.80,-18.40,26.60,15.45,26.83,202409
00319,473933979.00,132655920.00,270926268.00,155619089.00,1034.00,1724.00,0.00,0.00,0.00,1.66,-3.61,-3.61,0.00,99.99,0.01,65462.70,0.00,0.00,344.96,0.00,18.72,0.00,9.79,361.09,1436.82,734.67,24.05,60.15,92.86,82.28,45.05,7.68,12.81,42.21,-1.53,0.64,-8.21,69.41,65.47,34.91,202409
00321,1107094225.00,139855813.00,639727338.00,419272312.00,10082.00,1234943.00,0.00,0.00,0.00,1.64,2.70,0.51,5.51,13.09,86.91,74.19,5.21,7.52,0.78,5.50,9.29,2.93,11.60,380.29,993.96,224.02,-6.20,27.14,84.12,89.22,32.20,-2.54,-1.64,42.00,-0.43,2.27,-9.06,54.13,16.07,54.13,202409
00322,1432994828.00,334270423.00,929860787.00,270673064.00,18201.00,1826723.00,0.00,0.00,0.00,4.19,-5.53,-5.91,0.50,92.10,7.90,934.73,2.87,0.29,265.90,0.34,9.09,0.27,14.54,191.37,1194.02,442.57,35.55,33.38,120.33,56.00,65.02,5.88,11.61,35.55,-1.24,4.15,-10.40,64.78,64.62,13.90,202409
