código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00332,261189740.00,228762725.00,20062466.00,31736485.00,0.00,0.00,0.00,587297.00,176.00,7.23,146.71,58.86,14.60,0.00,100.00,55.40,14.60,0.00,-9.64,14.60,1.55,12.74,18.78,27.27,111.73,1300.03,29.18,28.58,49.28,57.33,31.48,4.30,5.59,32.84,-11.98,19.56,-26.63,2.91,20.20,20.20,202503
00338,514713863.00,134696199.00,194249785.00,154369511.00,0.00,0.00,82.00,4417.00,138.00,1.93,-2.14,-2.22,0.05,99.45,0.55,3320.08,0.11,0.05,80.83,0.05,10.64,0.05,14.73,216.35,1392.82,971.16,33.85,41.19,75.74,38.51,20.18,10.16,13.72,32.33,-0.16,2.95,-10.51,77.92,67.99,34.95,202503
00339,131899327.00,102417009.00,113413.00,45107783.00,3.00,0.00,6.00,22611.00,19.00,1.92,-0.30,-0.30,0.00,100.00,0.00,0.00,0.00,0.00,-86.67,0.00,8.28,0.00,6.45,255.03,5.97,5389.09,-5.40,31.88,37.74,45.32,26.40,-2.24,-2.26,25.58,-0.28,-0.41,-6.13,42.36,24471.06,9633.88,202503
00340,231811424.00,86670559.00,169438630.00,28018505.00,0.00,0.00,24.00,17345.00,74.00,6.18,3.49,2.87,3.20,72.32,27.68,63.84,0.26,4.32,-19.25,2.02,16.68,3.20,5.35,80.49,2263.87,1162.37,11.73,69.27,39.47,38.64,29.59,1.73,1.84,14.98,-0.93,0.73,-7.25,60.42,37.25,44.95,202503
00341,27479958.00,5171547.00,18360218.00,6000053.00,0.00,0.00,5221.00,22721.00,93.00,3.58,1.00,-1.32,8.08,52.19,47.81,117.83,15.33,1.43,59.01,8.08,14.47,5.70,30.45,-67.95,189.71,51.97,-45.07,65.48,-64.78,70.42,16.53,-10.76,-13.49,7.90,-1.01,1.50,-22.77,32.72,21.65,32.72,202503
00384,404942133.00,175301977.00,373186079.00,15099439.00,0.00,0.00,70861.00,629015.00,69.00,25.82,-9.04,-121.83,4.00,0.45,99.55,286.44,4.02,0.00,401.48,4.00,10.92,2.13,2.73,-1.07,5508.77,2713.67,-30.04,35.53,-1.02,65.54,26.99,-1.88,-1.88,16.96,-8.55,-0.69,-5.99,22.13,14.62,19.36,202503
00386,1358516916.00,502357708.00,873503416.00,356670160.00,0.00,0.00,32557.00,621805.00,737.00,2.80,-0.17,-1.08,0.65,49.17,50.83,211.24,1.05,0.24,2.39,0.56,3.98,0.65,10.62,90.40,1154.86,664.50,4.89,43.74,35.65,44.23,15.76,1.33,0.98,21.31,-0.65,2.60,-10.71,17.48,10.19,13.57,202503
00389,487205099.00,158204084.00,174662710.00,79904086.00,0.00,0.00,24559.00,207489.00,689.00,3.86,11.91,-1.75,9.67,6.60,93.40,107.99,10.35,0.02,79.67,9.67,6.95,6.14,26.74,-54.65,248.19,221.70,12.39,57.10,-53.03,93.98,25.41,2.84,3.89,12.67,-3.82,3.22,-22.21,15.43,15.43,15.43,202503
00426,155375369.00,77861126.00,104549198.00,37183893.00,0.00,0.00,5367.00,181123.00,188.00,3.18,1.45,0.15,1.25,59.33,43.20,94.41,1.79,0.81,-23.81,1.22,8.31,0.11,10.80,96.93,553.21,410.38,14.49,55.34,52.83,53.91,22.00,3.70,5.64,26.71,-0.84,4.52,-13.91,27.81,12.35,27.81,202503
00431,219705386.00,88976221.00,171608615.00,38564829.00,0.00,0.00,1517.00,37707.00,196.00,4.70,-1.01,-1.56,0.49,87.68,12.32,218.76,2.01,0.27,-14.70,0.49,20.20,0.37,11.01,22.28,863.61,442.11,-2.55,42.50,16.22,45.95,20.69,-0.55,-1.15,21.62,-0.57,1.14,-15.73,29.79,27.62,28.04,202503
