código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00044,3045816162.00,832964447.00,2005671494.00,533895750.00,8484.00,819164.00,51707.00,351018.00,1435.00,4.27,3.54,0.18,2.98,36.28,63.72,96.23,3.24,2.52,23.48,2.85,9.18,1.98,7.87,99.52,1345.72,496.04,11.27,71.75,41.24,43.29,26.79,1.94,2.50,14.61,-0.78,1.47,-7.12,35.89,29.58,19.05,202504
00045,963249999.00,252896449.00,677929227.00,223720614.00,35058.00,513738.00,12362.00,175730.00,381.00,3.23,0.18,-1.40,0.89,63.34,36.66,208.45,2.17,0.16,26.23,0.76,7.13,0.89,10.22,70.72,1128.29,433.42,4.38,39.37,29.78,44.45,19.95,1.00,0.36,17.18,-0.72,1.04,-9.57,26.23,17.78,18.69,202504
00065,382184018.00,142850607.00,246850719.00,95651036.00,3136.00,289370.00,25499.00,158017.00,405.00,3.00,5.50,1.28,2.56,29.28,70.72,70.85,3.49,0.30,-17.60,2.56,13.90,1.30,12.75,78.04,592.99,333.74,12.40,57.06,43.66,57.77,12.48,3.13,4.44,26.16,-0.71,2.21,-14.10,35.52,21.52,35.52,202504
00072,21034647535.00,10090372779.00,14872526553.00,3743580182.00,1063774.00,10590865.00,303102.00,1364334.00,6083.00,4.44,3.25,-4.08,2.29,52.15,47.85,155.73,3.97,0.74,89.44,2.27,21.19,1.81,5.62,137.04,2440.38,1602.36,18.78,39.81,50.51,35.71,11.03,3.65,5.24,17.80,-2.31,3.86,-7.16,34.80,30.73,33.11,202504
00083,808479757.00,369669766.00,508548012.00,238245800.00,8440.00,324650.00,22736.00,207732.00,742.00,2.39,8.06,2.42,3.73,40.75,59.25,62.17,1.20,7.42,-31.28,3.71,7.05,3.13,10.66,116.91,674.38,492.09,11.67,74.14,45.08,41.96,11.88,3.33,4.24,25.35,-1.51,1.30,-10.99,33.69,11.21,33.69,202504
00086,454394776.00,197323997.00,308649222.00,97026027.00,13053.00,157624.00,7724.00,126840.00,264.00,3.68,1.30,-2.09,1.21,56.40,43.60,170.60,1.54,0.95,25.86,1.16,3.68,1.21,12.02,72.05,1154.58,743.50,12.15,41.24,45.99,50.46,22.12,2.20,3.35,20.65,-0.89,1.94,-11.58,20.06,12.68,13.33,202504
00093,1264815803.00,355306323.00,736640992.00,348571215.00,63083.00,519948.00,45324.00,342423.00,764.00,2.63,0.62,-2.05,1.48,54.82,45.18,214.82,2.03,1.02,83.04,1.46,8.90,1.01,10.59,117.03,959.12,474.93,6.72,58.77,39.26,43.24,15.65,1.94,2.10,24.04,-1.14,-0.04,-9.71,34.32,15.28,34.32,202504
00094,895085224.00,311260813.00,386616307.00,286353389.00,25527.00,831291.00,31026.00,134340.00,819.00,2.02,1.84,-0.88,2.42,46.56,53.44,131.14,2.52,2.29,44.34,2.40,5.55,1.07,16.32,114.78,467.12,381.98,13.12,54.42,44.35,42.71,8.89,4.26,5.16,27.07,-1.04,2.08,-12.55,19.96,12.44,19.96,202504
00097,1629017636.00,388154017.00,1027756817.00,475662508.00,11704.00,407278.00,28029.00,427668.00,1161.00,2.42,2.32,-0.21,3.28,25.96,74.04,107.49,4.25,0.48,44.73,2.96,9.64,1.70,10.61,181.55,884.35,343.79,25.07,66.14,63.75,58.03,11.34,6.73,9.78,27.55,-2.05,1.31,-9.43,29.16,15.28,29.16,202504
00131,62175005.00,0.00,46783976.00,9274241.00,0.00,53.00,4.00,0.00,35.00,5.70,-0.50,-0.50,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,16.23,-39.46,1360.27,0.00,-57.86,60.21,-24.06,41.38,18.18,-20.98,-20.98,12.79,0.00,1.17,-22.12,71.68,9.85,71.68,202504
00143,241204182.00,56377831.00,180788522.00,15472989.00,3174.00,6798178.00,34600.00,10114.00,344.00,11.20,41.00,10.38,9.86,9.77,90.23,83.10,10.93,0.00,62.29,9.86,28.80,0.30,12.15,-7.53,537.03,170.35,-29.12,51.64,-13.65,66.65,8.40,-2.23,-2.12,19.75,-2.48,-2.50,-13.89,45.68,33.16,55.16,202504
00147,144795610.00,30957713.00,75258323.00,29889576.00,442.00,260.00,109.00,293.00,109.00,1.38,-1.29,-1.31,0.20,99.99,0.01,624.07,81.03,0.20,18.19,0.20,6.77,0.20,16.53,-22.50,663.50,274.79,-7.38,54.81,-13.53,48.57,28.12,-1.84,-3.71,13.77,-0.20,-0.49,-15.01,81.90,32.01,56.28,202504
00150,5172058595.00,1734454548.00,2835164933.00,1599358798.00,251270.00,1332750.00,43112.00,148747.00,2403.00,2.02,-0.01,-2.97,2.91,42.62,57.38,187.09,3.71,1.84,139.41,2.87,25.02,2.25,16.91,49.47,993.80,622.16,-9.71,57.74,22.71,34.07,15.62,-2.62,-3.17,18.99,-1.53,2.41,-12.39,54.85,44.42,53.03,202504
00165,699165507.00,39195896.00,194432046.00,382851395.00,37.00,77.00,2.00,5.00,173.00,0.38,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-97.24,0.00,14.11,0.00,24.61,299.80,1112.46,224.31,6.06,81.86,46.67,32.87,13.05,3.99,7.76,35.52,0.00,5.97,-10.24,304.69,251.49,114.69,202504
00191,7985291090.00,1707591313.00,4879794799.00,2767261811.00,407880.00,3463911.00,117584.00,709032.00,4591.00,1.79,-0.65,-0.96,0.52,78.93,21.29,381.27,1.75,0.18,62.65,0.52,14.60,0.37,10.79,142.22,1053.58,362.46,2.35,50.41,34.48,31.26,20.00,0.86,0.86,19.55,-0.42,3.04,-8.86,31.11,23.11,31.12,202504
00198,1465934885.00,448751006.00,1129160654.00,222636328.00,1211.00,2106.00,99.00,2094.00,282.00,5.46,1.26,1.26,2.03,99.71,0.29,65.46,0.00,2.04,-50.99,1.08,25.76,2.03,3.37,189.68,4463.57,1798.78,20.47,74.02,59.71,22.28,13.23,2.21,3.35,9.74,-0.38,1.10,-3.40,34.73,32.81,33.34,202504
00247,133331565.00,3797968.00,46275737.00,64005498.00,22905.00,7809.00,972.00,1654.00,181.00,1.08,-0.03,-0.10,0.22,98.30,1.70,334.87,0.32,0.22,-36.38,0.09,1.48,0.22,31.73,221.00,244.61,20.21,17.03,49.67,55.06,48.09,3.42,9.21,12.16,33.05,-0.36,13.09,-13.48,4.25,4.25,4.25,202504
00254,661322641.00,154334367.00,369644985.00,143778135.00,608.00,1557.00,327.00,346.00,200.00,3.12,-0.27,-0.27,0.32,99.91,0.09,172.90,12.13,0.31,-55.87,0.30,16.01,0.32,6.59,112.98,1860.77,777.40,15.14,63.83,26.13,39.10,21.76,4.54,4.62,16.06,-0.26,0.56,-6.93,52.20,43.24,33.14,202504
00266,176010970.00,28198189.00,63347272.00,85006456.00,69.00,59.00,2.00,1.00,82.00,0.62,-0.01,-0.01,0.00,100.00,0.00,0.00,0.00,0.00,-86.60,0.00,26.82,0.00,35.90,115.33,777.03,348.01,10.97,77.49,45.36,29.65,14.50,4.94,6.77,29.86,-0.01,9.46,-17.70,157.00,73.18,112.85,202504
00268,414854117.00,161563357.00,178040464.00,163417714.00,2194.00,84964.00,5959.00,34049.00,325.00,1.54,1.41,-0.54,2.54,9.80,90.20,120.82,1.82,9.20,16.86,2.54,4.17,1.84,15.01,136.91,531.08,447.49,14.32,68.41,41.29,46.05,16.05,5.55,5.68,26.32,-1.17,2.59,-11.70,15.30,9.72,15.30,202504
00269,10304752.00,223073.00,3300455.00,6323916.00,46.00,2534.00,17.00,124.00,22.00,0.63,-0.01,-0.01,0.05,42.80,57.20,1768.57,0.08,0.00,-17.43,0.02,27.70,0.01,94.36,-74.87,149.98,10.13,-73.53,54.98,-52.33,29.73,0.22,-39.60,-39.71,11.76,-0.01,-1.82,-37.64,223.54,86.62,218.86,202504
00277,72977587.00,39661791.00,38392384.00,24639476.00,191.00,586.00,83.00,57139.00,63.00,1.96,12.68,-0.98,11.51,7.16,92.84,106.45,11.65,9.75,45.20,8.26,5.52,8.55,16.74,93.72,609.32,655.11,21.75,37.18,54.63,86.56,28.22,7.30,8.93,46.51,-5.31,0.60,-19.57,12.49,10.49,12.53,202504
00281,41380507.00,6113665.00,17946901.00,12530029.00,421.00,1143.00,777.00,554.00,75.00,2.14,-0.35,-0.65,0.08,96.77,3.23,841.81,1.56,0.03,-17.36,0.08,14.23,0.07,40.84,15.45,234.79,80.64,-1.00,60.10,12.11,34.32,11.63,-0.30,-1.61,23.87,-0.34,5.92,-23.79,41.74,31.23,41.74,202504
00285,16260261546.00,7782005964.00,9742582088.00,4597890042.00,880199.00,7663501.00,368663.00,4396985.00,8679.00,2.52,1.35,-1.56,1.69,46.74,53.27,150.26,2.44,0.84,44.92,1.67,14.32,1.02,7.64,96.24,1100.43,849.61,0.18,58.37,28.23,43.07,17.33,0.05,-0.29,18.06,-1.25,2.81,-8.74,29.42,29.10,23.76,202504
00299,2610146210.00,937913197.00,1847167515.00,357155266.00,54808.00,491648.00,18434.00,190070.00,1492.00,5.07,-0.91,-2.64,0.66,87.42,12.63,227.42,3.14,0.30,25.75,0.57,20.51,0.53,8.84,42.31,1213.95,615.73,0.24,53.50,29.23,31.49,17.99,0.04,-0.58,14.07,-0.54,2.96,-10.46,56.32,32.60,44.51,202504
00300,1408367545.00,378298773.00,607174119.00,549511252.00,0.00,0.00,65.00,7295.00,341.00,1.53,0.38,-0.55,0.50,105.17,0.00,307.60,0.00,0.48,5.19,0.33,2.52,0.05,5.35,467.48,1724.91,1065.50,14.06,70.50,45.64,28.34,26.98,5.05,5.52,20.87,-0.40,0.23,-3.51,79.08,72.16,8.83,202504
00301,340553114.00,82281240.00,250640005.00,63626277.00,94570.00,383524.00,11562.00,16.00,598.00,4.33,9.64,2.81,3.25,39.09,60.91,50.64,5.33,0.00,-46.58,3.25,27.34,1.32,22.26,37.25,409.43,129.15,16.72,50.22,46.45,104.26,8.73,3.00,2.97,29.78,-0.70,4.02,-22.41,54.10,48.77,42.30,202504
00305,39658624.00,15614501.00,22043422.00,13116478.00,510.00,765.00,99.00,606.00,80.00,1.74,9.64,-0.49,0.26,99.98,0.02,246.83,0.00,0.26,-57.12,0.26,8.81,0.26,22.35,29.09,263.58,178.89,-9.14,57.05,17.26,55.68,8.61,-3.08,-3.70,24.86,-0.01,3.48,-19.98,71.43,54.86,30.91,202504
00309,247335641.00,109348289.00,160597754.00,75252925.00,1581.00,212658.00,5693.00,74339.00,351.00,2.15,51.57,14.93,12.68,38.15,61.86,35.97,2.95,28.46,-33.19,12.67,2.52,4.04,20.71,0.03,463.39,323.77,-13.86,36.02,0.02,51.59,6.17,-4.91,-5.96,26.22,-2.84,1.70,-24.69,18.84,12.63,9.93,202504
00310,359712616.00,216485973.00,258681554.00,86395876.00,1029.00,184394.00,3719.00,160286.00,268.00,3.16,28.12,5.63,2.17,24.40,75.60,53.77,2.47,1.26,-40.84,2.16,3.96,1.23,11.90,0.77,983.91,755.66,-4.08,45.00,0.64,56.18,10.08,-1.03,-1.06,26.98,-2.08,-1.65,-20.80,26.67,6.93,25.24,202504
00311,996667156.00,493180237.00,660361474.00,229660902.00,6261.00,926239.00,0.00,0.00,0.00,2.57,0.28,-1.63,1.54,43.34,57.34,145.38,1.80,1.17,21.03,1.27,8.83,0.49,14.75,63.35,909.83,680.54,21.66,47.64,51.02,53.67,13.93,5.01,6.73,27.22,-0.97,4.20,-18.63,24.18,10.95,37.86,202504
00312,120279240.00,37888872.00,93256218.00,16930386.00,85.00,184.00,2948.00,61066.00,68.00,5.78,13.65,0.81,1.42,6.02,93.98,74.26,1.49,0.34,-40.53,1.42,2.01,0.22,14.01,16.80,1399.77,444.93,44.12,47.74,18.20,83.27,27.43,7.07,9.69,28.69,-0.34,-4.92,-17.35,44.80,26.14,41.40,202504
00315,699191669.00,157544729.00,447740573.00,150768984.00,36053.00,445331.00,6557.00,170092.00,536.00,3.32,3.40,0.94,2.33,25.79,74.21,64.80,2.10,2.98,-27.79,2.30,12.79,1.27,19.19,73.67,826.62,285.38,10.48,38.99,53.10,64.35,3.03,2.27,3.81,26.07,-0.44,2.05,-15.64,28.25,18.60,28.25,202504
00319,729810389.00,251151276.00,394807020.00,201098209.00,1077.00,2002.00,805.00,70.00,192.00,2.52,-4.45,-4.61,0.03,100.00,0.00,8384.05,0.00,0.03,207.71,0.03,14.65,0.00,7.39,117.35,2032.07,1321.26,8.55,50.20,29.31,42.24,20.72,2.59,3.22,18.16,-0.97,0.78,-7.57,32.66,27.54,31.40,202504
00321,1537030225.00,258764778.00,861172583.00,574101855.00,10399.00,1246480.00,28593.00,612806.00,633.00,1.68,3.16,1.09,8.50,31.42,68.58,69.20,8.14,9.28,3.70,7.22,9.18,5.08,9.26,304.16,1344.91,424.05,23.98,27.33,59.58,96.77,17.41,8.92,13.22,29.11,-0.82,1.56,-7.29,63.80,16.38,59.15,202504
00322,3014148390.00,821313145.00,2311078440.00,411320407.00,21100.00,4766315.00,5778.00,239532.00,703.00,5.61,-4.28,-4.54,0.41,95.57,4.43,684.02,5.60,0.17,114.49,0.30,17.01,0.04,7.48,93.56,3222.99,1135.16,37.46,29.02,60.61,39.34,25.87,5.35,6.39,17.24,-0.56,3.85,-9.26,59.18,45.85,32.48,202504
00330,2764583833.00,1199909449.00,2105455508.00,428425869.00,64095.00,1350712.00,59937.00,1308469.00,1621.00,5.40,1.50,-1.21,1.02,53.29,46.71,137.21,2.05,0.11,-6.37,0.96,8.97,0.60,8.85,27.32,1262.06,716.63,-5.63,47.22,18.30,39.48,18.12,-0.88,-1.00,15.03,-0.89,1.47,-10.44,18.80,15.71,14.80,202504
